Type,Tag,ID,Description
theme,Blackmail,w_69G8qNv2dZD8AlQLeQz,"Blackmail is forcible coercion, convincing someone to do something they'd rather not by threatening to reveal something privileged or secret, or some other form of harm. These manga typically focus on a single instance of blackmail that is central to a story, delving into how and why the situation comes about or its eventual effects on both the blackmailer and the victim."
theme,Boarding House,wlwZW1Kc3SyKuxJ3k3g-F,"Characters in these manga live in a boarding house: a large building or complex that houses multiple individuals or renters, usually with shared areas for the community. Off-campus, shared dormitory buildings qualify for the tag as well, as long as the housing situation is similar to a traditional boarding house."
theme,Boarding School,FIB39UPbzCooIomhPkx5O,These manga take place at a boarding school: an institution that acts as both a dormitory and a school for students who live on-premises.
theme,Body Sharing,bEdRp-HlZ9AlHftpJyv_a,"These manga showcase characters that have two or more personalities inhabiting the same body through some form of fantastical means, such as possession. Unlike a character with a Split Personality, these consciousnesses are two entirely different 'people' sharing the same body."
theme,Body Swap,149UVE0S6sMUufb4cgsP-,"In these manga, two characters' consciousnesses transfer into each other's physical bodies, whether by scientific or supernatural means."
theme,Boss-Employee Relationship,UBY6nsdDQrzWRvR2Rk9BW,"These manga focus on a romantic or sexual relationship between a boss and their subordinate. The bosses might be CEOs, company presidents, or simply the manager in charge. Employees might be secretaries, assistants, or simply a direct report."
theme,Bounty Hunter,5_Qe0hZ2KBlaSDwfIo9Sf,"These manga follow bounty hunters as they travel the land or the galaxy, tracking criminals or targets, capturing or killing them, and collecting the bounties on their heads."
theme,Fourth Wall Breaking,2rWf9w5oxHCsoN9r7mjqs,"These manga feature characters that are aware that they are part of a story, and at times, pause to speak to the audience."
theme,Brother Complex,-xzmKoJEeONRN3wbE0gid,"These manga feature Siblings with a Brother Complex: they want nothing more than to ensure the well-being and happiness of their beloved brother, often to an unhealthy or even romantic degree. They're known to be over-protective and jealous of their brother's suitors."
theme,Butler,DtRHL3JrO-bwLw4kNzGtd,"Butlers live to serve. They make tea, set tables, greet guests and make sure the house is in order - not to mention, they execute their masters' requests. These manga showcase butlers, and often the Master-Servant Relationships that occur."
theme,Cafe,gJtOu1MPVk1wHaI8M1vD5,These manga predominantly take place in a cafe.
theme,Card Battle,4wu_UqjjKom7a_VbQjpnn,"In these manga, characters summon creatures or constructs from cards to battle the forces of their opponent. Common themes include card collecting, training, and participating in matches and tournaments."
theme,Cars,cEUnLQO46-kmJARmUEuPC,"They're fast, they're sexy and they're the perfect way to get from A to B in style. They're cars! These manga showcase automobiles and the characters who interact with them, from street races to cars used in combat, to AI-controlled vehicles that have gone awry."
theme,Catholic School,CsLWSy0lmc44s5yrmluPl,"These manga take place in Catholic schools: educational institutions run by the Catholic church. Some may be All Boys Schools or All Girls Schools, particularly if they are Boarding Schools. Classes are usually taught by Nuns or Priests and have a religious curriculum based on Catholic doctrine."
theme,Cheats,dZXNeRHk9lCN5WAT5-JpV,"Characters in these manga have gained a way to cheat the system through fantastical means, whether the cheat breaks the rules of a game world, the real world, or an isekai fantasy world. Examples include: a game-based levelling system that appears to only them in the real world; finding or being given a game-breaking item; or acquiring an ability to level up faster than usual, or to instantly access new skills. Special, overpowered abilities aren't considered cheats if they are game-sanctioned - for those manga, see Overpowered Main Characters."
theme,Cheerleading,jqKBTi8azNFRLUhzLo9vE,"These manga focus on cheerleading. They may show recruiting, practicing, performing at events, or just follow the day-to-day lives of cheerleaders."
theme,Chess,oXwK32zhUTDAaiTQJHlQD,"These manga focus on chess: a two-player, strategy Board Game where each player controls sixteen pieces on a checkered board.  and tries to capture their opponent's pieces. Players move the game pieces to capture the other's until the opponent's king is unable to escape. Checkmate!"
theme,Childcare,Um5RJTh-cMUGUMCKxE3S9,"The main characters in these manga provide care for children, either through the industry or individually. They might be a single parent, or suddenly become an adopted parent or guardian for a child, or work as a nanny or caregiver."
theme,Childhood Friend,OUnzo2U3ls0aRKTBgOSKP,"These manga primarily focus on one or more childhood friends. The friends might have reunited after a long period of time apart, or they might be characters who start a relationship in a Romance manga. A Childhood Promise might also be involved."
theme,Childhood Promise,74f2uF6FVP2fIF3olZDQQ,"When they were young, characters in this manga made a promise to each other; in the present, they might be working to fulfill that promise, or they might have forgotten it due to amnesia. Common childhood promises include promising to marry, to return home, or to make it big in a specific career or field."
theme,Child Protagonist,NnjqUsxMhis-dhDaihvbi,"These manga feature a protagonist that is under the age of 12. Stories with child protagonists can focus on the challenges of growing up, the innocence of childhood, or or on a child's day-to-day life and misadventures. Does not include cases where adults or teenagers have either undergone an Age Transformation or have become a child due to Reincarnation or transmigration and still possess memories of their past life."
theme,Christianity,9W7OiYxG_6COf0WfEMqFD,"These manga have themes related to the Religion of Christianity. They may focus on the life of Jesus or other historical Christian religious figures, showcase stories from the Bible, or show other aspects of Christian life, such as becoming a priest or nun."
theme,Christmas,9QDPJFxSDHqw2nu2sOot4,"These manga take place during the Christmas season or focus on the holiday. Common themes include finding and exchanging gifts, Santa Claus, Christmas Eve festivities, or other topics related to the season."
theme,Circus,SRPLXCXOriklvGOeXoc_p,"These manga center on a circus: a company of performers such as clowns, fire eaters, trapeze artists, members of a freak show, or tightrope walkers. The group might travel from town to town, or might have a stationary location to entertain their audience."
theme,Codependency,fltcoM8cri3NJHKutYCwi,"These manga feature characters that are in dysfunctional, codependent relationships with lovers, family, or friends. Their reliance on each other means they are unable to thrive normally or to live as independently as they should. Sometimes, these relationships can escalate into Obsessive Love."
theme,Cohabitation,d6_AAM2wXL8Y7qqMprWIZ,"Cohabitation is an arrangement where unmarried people who are in a romantic or sexual relationship live together. These manga showcase the ups and downs of cohabitation, such as the little things that happen in day-to-day life, intimacy, or even breakups. Occasionally, cohabitation can involve poly relationships."
theme,College,MyWW8wQYKWkMHAT9A2vI-,"These manga take place in a college, a university, or a post-secondary school."
theme,Combining Mecha,Pi5j8F0bpzXghnYE2tFQm,"These manga feature multiple Mecha which can Transform and attach to each other in modular fashion, creating larger and more powerful super-machines that can act in new ways."
genre,Comedy,UyGbEnML42JzGJdH-CM4V,"These manga aim to make you laugh through satire, parody, humorous observations, slapstick scenarios, or absurd antics. Bonus points for spitting your drink all over your screen!"
theme,Coming of Age,HtEcXRklZSah910XQ3tPC,"Coming-of-age refers to the process by which a child becomes an adult. These manga showcase characters who make the transition naturally, or are forced to grow due to outside pressures. Learning about one's self, about others, about the world, and what society requires from adults, are all common themes of coming-of-age works."
theme,Concubine,BhtcEWu-nV-UlTU3EyD-m,"These manga feature concubines: people kept for pleasure, companionship, or to provide children for those in positions of power. Royalty or other wealthy people may keep a harem of concubines. In some cases, concubines are considered married and may even have wedding ceremonies, but they generally have a lower status than a legal spouse."
theme,Conspiracy,j4f37s2aXFJ30iRNcEZaN,These manga feature an organization of two or more people executing an unlawful or harmful secret plan. Conspiracies can be anything from large-scale government coverups to several people conspiring to make someone else's life miserable.
