Type,Tag,ID,Description
theme,Isolated Society,K4_FIRWDLiiLX-ivWSKpg,"These manga feature a society that is physically isolated from the world. The populace might live inside of a walled or domed city, or are limited to a small island. Typically, the society is unaware of what exists outside of their borders in the Outside World, or are forbidden to go there."
theme,Japanese Mythology,5fZLZ1YPPyY6qzRqs8KN7,"Japanese mythology refers to any number of stories involving kami (deities or spirits), oni (ogres), and/or youkai (fey-like creatures). Manga commonly include ideas based on the creation myth, featuring Amaterasu, Susano-o, Izanagi and Izanami; tales of incredible beasts such as the serpentine Orochimaru; or stories of mortal deities or folk heroes like Momotarou."
theme,Band,s_1S5lxsbr4KIHXn7Pkhr,"These manga focus on the appreciation of Jazz music, or on the musicians themselves, whether they're amateurs or professionals."
theme,Kidnapping,31ttHBqCM5ww9r7RFpjcg,"These manga feature a kidnapping as the central plot, whether it's carried out during the manga, or characters must deal with the aftermath of a kidnapping."
theme,Queer,ksWrf00Uxjv2oBKNUkeec,"These manga have an LGBT theme as a strong focus. Examples include gender or gender identity themes; an LGBT relationship as a primary focus; or an LGBT character as a protagonist, especially if their gender or sexual orientation is showcased as a back story or plot point. Read more about how we tag LBGT-related content on Anime-Planet."
format,Light Novel,MkG2J3ZVmjYEHaM50ld1z,"A light novel is a Japanese novel that usually has less than 500 pages and contains a minimal amount of illustrations - sometimes only the cover contains artwork. See also: Novels, Web Novels."
theme,Love Triangle,aXZ3SBJ0UxAQiUnnaGD0J,"A love triangle is a set of interconnected romantic relationships between three people. These manga focus on the trials and tribulations of characters who may at first be in love, uninterested, or completely oblivious, as they untangle their feelings, make their choices, and try to win the heart of their beloved. More complex sets of relationships involving more than three people, sometimes called love polygons, may also be included."
theme,Mafia,G7EY9V6UYtvxTPRagFLvU,These manga feature the Mafia: traditionally Italian Gangs that follow a strict code of honor called Omert\\u00e0.
theme,Magic,5o4_jE-3yUDhM-KZV-lDu,"Magic is the use of gestures, incantations, or rituals to harness some kind of supernatural power. Characters in Magic manga tend to go by titles such as witch, wizard, mage, or sorcerer, and may be occupied with learning to harness these abilities or with finding magical relics or battling against strange entities... or other magic users."
theme,Magical Girl,hNrjMyxluFGmX4BQyaRBu,"These manga feature young, generally school-aged girls as defenders of love, life, and justice. They typically stumble upon the source of a magical power, or are granted one by allies that are aware of evil forces on the rise. Often by using a special item or with the help of a magical familiar, these characters are able to transform into an alter-ego ready to cause mischief or fight their foes. Magical Girl is a sub-genre of Henshin Heroes."
theme,Magic School,h0w2txiFOa2xYCoxI7HwH,Characters in these manga attend a Magic School where they learn about the magical arts.
theme,Maid,xuPeM9AjhCGWL0THZltGT,"These manga showcase maids: women - or rarely men - who are employed to help cook, clean, run errands, or anything else that their master requires. The manga might also feature a Master-Servant Relationship. Alternately, maids might be employees of a theme cafe where cosplay is required to please customers."
theme,Married Life,MHoU-c5EakWQfRgGa2RtY,"These manga showcase what it's like to be married. The couple's married life might include day-to-day tasks, or activities that help strengthen their intimacy inside or outside of the bedroom. Or, the manga might focus on the relationship failing - even divorce."
theme,Martial Art,QFQKvhFEzGYbAn8rN8Zyf,"Martial arts are techniques that heavily involve training and are steeped in tradition. These techniques can have varied applications such as self-defense, psychological health or advanced use of weaponry, amongst others. Characters in these manga often spend much of their time training to defend themselves or others, participate in competitions of skill, honor their culture, or develop their health and spirituality."
theme,Master-Servant Relationship,pNcoVqpxLNGdHV5yEVIy_,"These manga focus on a relationship - platonic or romantic - between a master and a servant. Sometimes these relationships are traditional, such as the interactions between a Maid or Butler with the master of the house. Comedy and Fantasy titles sometimes showcase this relationship in a different capacity, featuring a magic user with a human 'familiar' or 'pet' as a designated servant."
theme,Mature Romance,LXAXPNkeuuHCoLRcuDxsM,"These Romance manga typically feature relationships between Adult Couples or College students. Unlike high school romances, these stories typically feature more mature themes that adults experience in relationships."
theme,Mecha,2PUtxjIpgMb8on0CG9n2f,"Mecha are self-propelling machines that are modeled after humans; some can change into multiple, non-humanoid formats as well. They're usually controlled by an internal pilot or by remote, but are sometimes sentient beings that move autonomously. A mecha's size ranges from bulky, wearable armor to a massive, towering contraption and beyond. While mecha have a wide range of applications, such as making manual labor easier, they are most commonly portrayed as heavily-armed war machines."
theme,Medical,LuClLE6KRXMZUYzWt9XE7,"These manga feature medical professionals such as doctors, surgeons and other staff, as they perform their medical duties at hospitals, clinics, or other locations."
theme,Medieval,GmfZ374eK0UL6L-Zug_5m,"These manga take place in a setting thematically similar to Europe in the middle ages. Castles, moats and small villages adorn the landscape, and knights, military forces and feudal kingdoms rule the populace."
theme,Melancholy,_qbkRFAzSekFj0yJgU3-n,"These manga have an atmosphere of pensive sadness. They may explore themes such as Loneliness, an Illness or Mental Illness, the Death of a Loved One, or tragedy."
theme,Mental Illness,W8qixqdoRsaOWD17XhYbP,"These manga feature characters who live with a mental health condition that impacts their way of life, such as depression, anxiety, PTSD, or a personality disorder. For physical ailments, see Illness."
theme,Military,09qTZSG0bdyXXX4wWj3ux,"These manga have a strong military presence, be it on a national or intergalactic level, or showcase characters that are in the military."
theme,Military School,c8rIl_ecSgnbQoh3NXjG8,"Characters in these manga attend a military academy. They're often found in the classroom or training in the field, whether they're attending the school to become a mecha pilot or a member of the armed forces."
theme,Mind Games,9sBCF9zfMgLdB9PSJf7dF,"In these Psychological manga, characters use words and actions to manipulate others psychologically. Whether it be for their own amusement, to gain an advantage or for darker purposes, the characters in these manga use manipulation to get others to do their bidding."
theme,MMORPG,wXLjRFAAAlVB-WyKa8hOz,"These manga are about an MMORPG: a massively multiplayer online role-playing game. The setting might take place inside of the game if it's a virtual reality, or the story might focus on the MMORPG's existence and use instead."
theme,Monster Girls,_-_PTLmwR7429-CLNkOmi,"These manga showcase cute or sexy monster girls such as the cyclops, harpies, centaurs, dragons, or others. Manga with this tag have a Comedy, Harem, or Romance focus."
theme,Monsters,j6BCgf4RHwD-_budAkgEx,"Monsters are fantastical creatures that appear in a wide variety of genres. They're classifed most easily by what they aren't; Vampires, youkai and a variety of other characters are separate categories. Monsters can be cute and cuddly sidekicks, scary beasts or anything in between, as long as they are fantastical, not found in nature, and don't fit another character classification."
theme,Monster School,myn-BzMXt-VYRxCeFO2Dk,"These manga feature schools where monsters, vampires or other supernatural beings attend classes like typical students. These monster academies can sometimes host human students as well, with or without their knowledge."
theme,Music,CYrhjGZq2iK-z7DaAse73,"These manga are all about the appreciation or performance of music, no matter the genre, or the skill level any musicians involved. Music lives in the soul of these characters!"
theme,Music School,9_5CKUzWl5W_pZ4Xv_Fde,"Characters in these manga attend a Music School. There they learn how to play instruments, be a singer, compose their own songs, or learn other musical skills."
theme,Mystery,qD5C6NVFqNWhVQSKrYWpY,"Mystery manga focus on unresolved questions, and the efforts of characters to discover the answers to them. Whether curious and deadly events are afoot, or some part of the world itself is strange or inexplicable, or someone's past or identity seems strangely shrouded, these characters are set on learning the truth."
theme,Natural Disaster,zhtugNzW9R-jG7g5us7Dr,"In these manga, a natural event such as an earthquake or flood causes widespread damage or loss of life."
theme,NEET,ebjY4DoE7oScFOV3-KgZ1,"Young people who don't have jobs or aren't enrolled in school are classified as NEETs: Not in Education, Employment, or Training. These manga feature main characters that are NEETs, or focus on the phenomenon."
theme,Neighbors,T7OHJwDhn8VGMKoleZ4p5,"This manga features neighbors: people who live in separate apartments, or in separate rooms in a Boarding House, or live in neighboring houses. "
theme,Newly Co-ed School,AjBOsQZXx3CRPmaALIfsQ,Characters in these manga attend a newly co-ed school that was recently all-girls or all-boys.
theme,Ninja,-5qjIZ6gsor7EWdYOg5iq,"Ninjas study the ancient art of ninjitsu. Skills include disappearing in a puff of smoke, making temporary clones, heightened physical agility and speed, stealthy movements, and precision accuracy. Bright-orange attire is optional."
theme,Nobility,qEC2Y8D1naLiKXMe5Mmmg,"These manga feature nobles: individuals who hold land passed down through generations. They're given titles such as Marquis, Count, Baron, Earl, or others. Not to be confused with Royalty."
format,No Dialogue,JM9mEAyGS8KwRfen3wRFr,These manga contain no dialogue.
theme,Noir,KU5iD2P-qtJyBQtJEMXBs,"Noir is a genre from the 40s and 50s that features hardboiled cynical heroes, femme fatale, and bleak, sleazy settings. These manga either take place in 40s and 50s, or are considered Neo-Noir: titles that combine elements of Noir in a modern or futuristic setting."
theme,Non-Human Protagonist,wMj18blQ7COLNdt-OV71N,"These manga feature protagonists who are not human. They may be animals, monsters, catgirls, deities, space aliens, sentient robots or any other fantastical or supernatural beings. These stories may center solely on a non-human protagonist, or feature one who is paired with a human comrade or romantic partner."
theme,Nurse,qO3f5BimObFK3SLd7ugB0,"These manga feature nurses: professional health care providers in the Medical industry, usually working alongside Doctors in hospitals or in schools."
theme,Obsessive Love,MmaQXGuwfBDqYanDJlKzq,"In these manga, a character has a romantic obsession with another. The feelings may be reciprocated in a dysfunctional relationship, or is Unrequited Love via a Stalker or a yandere that can lead to violence."
theme,One-Night Stand,2pTSi2XvCTiWG8mmeZyNq,"In these manga, a one-night stand is an important aspect of the story. The characters may have a one-night stand and have to deal with the aftermath, such as sorting through their feelings or dealing with an unplanned Pregnancy; or they might reconnect with someone they had a one-night stand with at some point in the past."
theme,Opposites Attract,UHtOaMkVDsZk2SCeMutqb,"Characters in these manga are polar opposites, but are drawn together in spite of their different personalities. They may start out hostile towards one another and slowly warm up to each other, or the attraction might be instantaneous, hitting them like a tidal wave of unexplained, out-of-control passion."
theme,Otaku Culture,Q54d9OkVILUJzssdu7DAi,"The word otaku describes a person with obsessive interests, usually in the realm of anime and manga fandom. Characters in these manga may be shown visiting stores to acquire new merchandise, cosplaying as their favourite heroes or heroines, meeting and trading Doujins at fan conventions, or arguing online about works from their favourite authors or studios."
theme,Overpowered Main Character,WHs0YdhDqntvnSPhrrFfM,"These manga have overpowered protagonists, or overpowered main antagonists. Overpowered manga characters easily rise above the conflicts of their story. When competition is involved, they are typically undefeatable, using their intelligence, fighting prowess or pure raw power to win with ease, always staying ten steps ahead. They might be overpowered because of Cheats."
theme,Pandemic,eoibIvy5gVZh7aTnMrhf2,"A pandemic is an infectious disease that has spread throughout the population in a large region, or even the world, with disastrous consequences like widespread death or illness. These manga follow an epidemic in its infancy, or in the aftermath of a pandemic's wake, with diseases that range from pathogens found in today's society to parasites, to mysterious zombie outbreaks and beyond."
genre,Parody,phGHztRjVNMUBbmVaqxE8,"These manga imitate well known genres, styles or characters in an exaggerated, comedic manner to poke fun at them."
theme,Person in a Strange World,1xk-nj5vh_U7sqpoGagr3,
format,Pilot Chapter,6WnWK5aAHLWVDcvfK5q6D,"A Pilot Chapter is a special type of One Shot manga. Usually, these chapters are released in a serialized magazine or online to gauge interest in a full series. If popular, a full series is created by the author; usually these full series reboot the story of the Pilot Chapter, but rarely they continue the story and treat the Pilot Chapter as a prologue."
theme,Pirate,BYIs-3GsxILODb5ODm6jl,"Yarr matey! These manga follow swashbuckling pirates as they sail the seas or skies, exploring the world, pillaging the populace, or searching for buried treasure. Not to be confused with their counterparts in the heavens, Space Pirates, or ordinary Mercenaries."
theme,Play or Die,aec4gjfuB-TmElpOuuGNZ,"Characters in these manga are forced or choose to play in a special type of High Stakes Game: you play to win, or you die trying."
theme,Pole Dancing,lw1ujT-PYss0TO_TcL1X8,"These manga focus on pole dancing: an activity that combines dance and acrobatics using a vertical pole. Pole dancing is a form of adult entertainment that includes sensual moves, but it is also a mainstream form of fitness given it combines resistance training and cardio, and improves flexibility."
theme,Police,VlcSwWZ3V1Mx49G65haLF,"Police forces are responsible for upholding the justice of their nation and/or community. These manga follow uniformed men and women as they carry out their duties: patrolling the streets, investigating crimes or potential criminals, or keeping citizens safe, whatever the time or place."
theme,Political,F1lJRuRjDUB1nb_3IbJbK,"Political issues concern people on a broad scale, and generally relate to a region's government or its relationship with other territories. These manga focus on anything from political campaigns and policies to international politics, wars and treaties."
theme,Polyamory,M45m8rLydeDY9ZjbkLoMc,"These manga focus on polygamous or polyamorous relationships. Unlike Love Triangles and Harems where two or more people compete for the affections of a single person, poly relationships feature three or more people who are all consenting partners in a Romantic or intimate relationship."
theme,Possessive Lover,xWxfFR--WpIfohoPNvXR5,"In these manga, characters are in a relationship in which one or more parties is possessive. They may become jealous easily, or control their partner's life in subtle or abusive ways. This behavior can potentially lead to Obsessive Love or Codependency."
theme,Post-apocalyptic,vBuF_y-0-tZTKTeliH0qj,"The world was nearly wiped clean of life, whether through nuclear war, an alien invasion, a natural disaster, or a pandemic. From the ashes of the old world, some societies struggle to endure and rebuild, while others live new, agrarian lifestyles and the old days are merely legends."
theme,Poverty,PH3CH3YrMn2oKHF_NyjHt,"Characters in these manga are destitute. Their poverty might be because of Debt, their social standing, their employment status or other reasons."
theme,Pregnant,xd6sB-BuC9zwwTY8Lq5G4,"Characters in these manga must deal with a planned or unexpected pregnancy. Or, the manga showcases pregnancy themes."
theme,Prehistoric,MLlv8pCfJ65XOWoPKPh5w,"These manga take place in the prehistoric era, or have a prehistoric aesthetic. Cavemen, Dinosaurs or ancient beasts that predate human history populate the landscape, or modern characters may arrive through magic or Time Travel."
theme,Prison,crReak2Mxx_Z6YSE-4Ylf,These manga take place in a prison.
theme,Psychic Powers,wc3NQ403uOmm64MwkYFU-,"Psychic powers are extraordinary abilities that allow those that have them to project their mind and will onto the world. Common examples include additional or heightened senses; telekinesis, or general manipulation of physical objects; mentally projecting oneself into space or time; or manifesting physical objects from distant places or from nothing at all."
theme,Psychological,VLEOUvCB7oTH6s1vj1Y8S,"Psychological manga delve into mental or emotional states of a character in the midst of a difficult situation, letting you observe them change as tension increases. Internal monologues are a key feature, allowing narration to delve into a character's mind, revealing their innermost ideas and motivations - even as they may be driven to the brink of sanity."
theme,Psychopath,CG6EagbG9QV1713Vx8DkY,"These manga include psychopaths: people who often engage in frightening or violent behavior with no regard for the feelings or safety of others and usually derive pleasure from the fear and distress their behavior causes. This can have severe and often fatal consequences for the people around them. Some may be Serial Killers, or engage in other violent criminal activity."
theme,PVE,tZd3KydVyEqtZ7j_l3SNn,"These High Stakes Games manga are PVE: player versus environment. The game rules dictate that players don't battle each other, they must instead fight a common enemy or deal with an external force. Not to be confused with PVP anime (player versus player)."
theme,PVP,xNP9LRAmIE9zuYhnLEwH9,"These High Stakes Games manga are PVP: player versus player. The game rules dictate that one or more players are the enemy, pitting the characters against each other. PVP anime are often a Battle Royale setup where players must kill each other off until only one remains. Not to be confused with PVE anime (player versus environment)."
theme,Rebellion,jQanqhT3IHsXhr3BZTA41,"In these manga, one or more characters attempt to overthrow the current government or ruling system, and replace it with their new version of a \\""better\\"" one. They might use Terrorism to achieve their goal. A rebellion might be led by a single person or group of peasants, or it might turn into a full-scale civil war between factions."
theme,Reincarnation,Ea5nyFIqt14I2E6aSu6xz,"Reincarnation is the concept that a person's essence continues after their body dies, and may be reborn into a new one after their lifetime. These manga focus on the theme of reincarnation, featuring characters who either have been reborn into a new life-cycle, or may be carrying the spirits of past lives as well as having their own personality."
theme,Religion,leKmH-_wMBdOg2fhoNGTf,"A religion is a set of practices associated with a system of faith. Many religions have an organized structure wherein some manner of spiritual leader guides his or her community in this faith. These manga feature a strong influence from one or several real world religions, which may relate to their faith, their religious orders, or their holy scriptures."
theme,Remarriage,0M6nok_-YVBHXBwCjcckH,"Characters in these manga are brought together due to a remarriage, for example two people who have just remarried, or have become step-siblings. Common themes include the day-to-day happenings of the remarried characters' Married Life, adjusting to becoming a step-parent or step-child, and step-siblings learning to get along with each other... sometimes a little too closely!"
theme,Revenge,51oZ30d__4AIhu9hevNvQ,"In these manga, a character seeks vengeance against someone or something that has done them, or someone close to them, harm. The accused offense, be it real or imaginary, can range from a world that has treated them unfairly to more personal motives such as the murder of a loved one, and is the driving force behind the character's actions."
theme,Reverse Harem,mlm7hI7OkFWGVLUJ8ci1g,"A reverse harem includes three or more characters who potentially show romantic interest in a female protagonist. The sex, gender, or orientation of the harem members is irrelevant as long as they exclusively, or at least primarily, are vying for the affections of the same individual - who may or may not reciprocate towards one, several, or none of these romantic rivals."
theme,Reverse Isekai,BXM5YDq4nGij9KgLVtQ4d,"Unlike typical Isekai titles where a person from Earth is transported to, reborn, or trapped in a parallel universe or fantasy world, in these manga characters from another world find themselves on Earth through similar means."
theme,Rivalry,oW_wja9Z0d7PlaXQowMid,"These manga focus on a rivalry relationship between two characters. They might be classmates competing to get the best grades, siblings trying to one-up each other, rivals on a sports team, or strategic rivals who play mind games with each other."
theme,Romance,bPorqNtoCd1LNUqXu-HtK,"These manga showcase the joys and hardships of falling in love, whether a schoolgirl has an unrequited crush on her senpai, a Love Triangle occurs within a group of friends, or rivals become lovers through competition or their intense passion for each other."
theme,Romantic Comedy,h4_J1KebqK0wUG6qL2azN,"Romantic comedies, also known as romcoms, are a type of comedy manga focused on relationships. Typically, they feature characters who meet and ultimately fall in love, but can sometimes focus on already-coupled characters whose relationships grow throughout the story. The progression of their relationship is usually what provides the comedy aspect; for example, through the obstacles the couple faces such as a love triangle, or through mismatched personalities, misunderstandings, or other common tropes."
theme,Roommate,sN323nJLeqLpcuUp_6yfV,"This manga features roommates: unrelated people who live together in a house, a dormitory room, or in an apartment unit. Sometimes referred to as housemates or flatmates. These people might share rent or expenses, or they might be roommates for fantastical reasons, such as an alien or creature that decides to live with a human."
theme,Salaryman,cRoh9WrHqe6HxYuz8Isob,"These manga feature salarymen, a Japanese term for white-collar office workers. To the salaryman, work is everything. Every morning, they throw on the same blue suit, white shirt, tie, and shined black shoes to work in their office cubicle. Health and family pale in comparison to their all-important career."
theme,Samurai,kOPvHjAyp3JxgrLZHiGVd,"Samurai are those who follow bushido, the classical Japanese warrior code, as a way of life, and usually hone their skill in combat to make their way in the world or perfect themselves. Characters in a Samurai manga may be in service to a liege lord, or ronin types who serve none but themselves. Common themes include service, honor, strength, and one-on-one combat or battles, often with blades."
theme,Satire,5VYuPMQqgiqH8QvAL9JbE,"These comedy manga are parodies that use irony, humor, and exaggerations to criticize or mock culture, politics, or other topical issues."
theme,School Club,rFgnrh1FjWbLTxnZg69zE,"Characters in these manga are passionate or begrudging participants in a school club. Typical themes include recruitment, day-to-day activities (be they relevant to the club's purpose or not), participating in school activities and celebrations, and going on field trips as a bonding experience for the members."
theme,School Life,9DubUeAV90ZsFrd2-NeuR,"These manga showcase events that occur on a daily basis in a school, whether from the perspective of a student or of a teacher. Having fun in the classroom, attending School Clubs, spending time with friends or doing daily chores are frequent themes in these manga."
genre,Sci Fi,UTD0r7TkeLQ2Gzfm9ccWS,"Sci-fi, or science fiction, is a speculative genre which builds on imagination. Sci-fi manga ask, \\""what if things were different?\\"" They explore a new world, whether it's the world of the future or past, a present Earth with a changed history, a land that was previously unknown, or another planet entirely. The genre commonly features humanity's inquisitiveness and innovation, as they grapple with new technologies, new societies, or new frontiers in Outer Space."
theme,Second Chance,ir-Zo6mBH5MXuBy2qzrO-,"Characters in these manga are sent back in time, against their will, into a younger version of themselves to have a second chance at life. Typically this occurs after the characters die or are killed, but sometimes through other means. After they appear in the past, they may use the opportunity to atone for their past mistakes, to save a life, or to simply live a different version of the life they once had. If the characters travel into the past more than once, Time Loop is used instead."
theme,Secret Identity,lP_-aFJfwDuhFY-jy6hKg,"Characters in these manga have a secret identity: they live a double life. Examples include Thieves, masked superheroes, and magical girls."
theme,Sentient Mecha,XqR-drPJ2ixAla2En2Zja,"These anime feature living, sentient Mecha that don't have a pilot. They might be Transforming Mecha or Combining Mecha."
theme,Serial Killer,t6JlPlGaPXd-lYIKSPp1W,"A serial killer is a person who commits a series of murders, often with a predictable pattern or with a specific motive, such as holding a grudge, or even promoting their own twisted sense of vigilante justice. Serial killers are the focus of these manga. Typical themes include psychological cat and mouse games with police, calling cards, and the process of unmasking the killer."
theme,Showbiz,22aSHenKeql7ZWoF20YO7,"These manga are all about show business. Characters are involved in the industry as actors, idols, or other talents."
theme,Siblings,vx_siORZVx8hNmK4XHBc2,"These manga showcase siblings that live together, work together, or travel together to accomplish a common goal. The siblings' relationship or bond is the primary focus of these manga."
theme,Single Parent,m1xKT7LTjL18hpnADR1FO,"These manga feature characters who are the sole caregivers of a child. They might be the biological parent, an adopted parent, or simply a primary caretaker. These single parents are responsible for all the tasks involved with childcare, either alone, or with the aid of friends, family or a potential new love interest who serves as a secondary parental figure."
theme,Sister Complex,HqMQjoywlE2tf0Xm0RvFS,"These manga feature Siblings with a Sister Complex: they want nothing more than to ensure the well-being and happiness of their beloved sister, often to an unhealthy or even romantic degree. They're known to be over-protective and jealous of their sister's suitors."
theme,Slapstick,hWGE1omHO9qUXOWQT5w0x,"These manga feature humor based on physical comedy. Characters might be comedically clumsy, or hit each other in comical, over the top ways."
genre,Slice of Life,jO4iD1sENyxIVjDkWo1L5,"Slice of life, or \\""nichijou\\"" in Japanese, refers to events that occur on a daily basis such as getting ready for the day, light chores, enjoying a hobby, or preparing meals. These events differ depending on setting, but above all else are considered to be ordinary, everyday actions that don't always follow a central plot. The related tags School Life and Work Life focus on ordinary events that take place in a school or work setting, respectively."
theme,Slimes,K7Ru-SX1YIwV9DpJA6lFc,These manga feature characters that are slimes: masses of gelatinous fluid that typically don't have a distinct shape.
theme,Slow Life,2droCEbVlAkY3d7ZX4j81,"These manga feature characters who have had their fill of excitement, adventures, and drama, and seek a more peaceful life. They may be Isekai'd heroes, villains, high-ranking adventurers, or a typical salaryman, but they all share something in common: they've had enough and want to retire to a slow and peaceful life."
theme,Social Gap,i8C7beQ32ksS1xtknPVWy,"These manga showcase a relationship where the characters are in two different social groups. Common differences include rich vs poor, royalty vs commoners, police vs criminals, or other differences. While not always the case, these characters sometimes must overcome challenges or stigma associated with their difference in social status."
genre,Space Opera,Y2J84TFeH4qQfrd2os9th,"Space Operas take place primarily in Outer Space or across many worlds. They are known to have a large-scale sense of Adventure, Romance, complex characters and Political conflicts which often lead to epic space battles."
theme,Split Personality,t2XLDcRmH4PoBMng5AFFL,"These manga feature characters with multiple personalities. This may be the result of magic, a supernatural occurrence, or the character may have Dissociative Identity Disorder (also known as Multiple Personality Disorder), a Mental Illness that causes the person to shut off or dissociate their mind from their current surrounding by shifting to a different personality."
theme,Stalker,g6W4Z-yi3MbmShlDS2icL,"These manga feature stalkers: people who spend a great deal of time following a target for romantic or nefarious reasons. They're often hiding in the shadows, habitually following their obsession or observing them from afar."
theme,Star-Crossed Lovers,fB3-MWFYIUCSzedJdIGF7,"Characters in these manga are in love, but because of fate, family loyalties, timing, or other reasons, their relationship seems doomed to fail."
genre,Steampunk,FbL8FFaL_twoRHwfkDaGZ,"Steampunk describes an alternate timeline based on the industrial revolution, where steam-powered technology like airships, robots and appliances are commonplace. Invention and imagination are common themes in these manga, and elaborate, mechanical devices with cogs, gears, wheels and lenses are found everywhere, even in the outfits of ordinary people."
theme,Stockholm Syndrome,6AtTL58y276m5XHI9MwoJ,"Stockholm Syndrome is a phenomenon in which Kidnapping victims, hostages, or other forms of prisoners develop sympathy or romantic feelings towards their captors. These manga feature protagonists who develop Stockholm Syndrome."
theme,Student Council,RsmhCQ8JjtPNR4PTn0z_o,"These manga feature characters who are a part of their school's student council. Elected by the student body, student councils represent their peers when it comes to school affairs. Typical themes in these manga include student council elections, planning of school events such as culture festivals, or interactions between the council members."
theme,Student-Teacher Relationship,jQihpfN-SpsW2_u9LR7gp,These manga focus on a romantic or sexual relationship - usually forbidden and taboo - between a teacher and their student.
theme,Succubus,iTJsF5JcvD92Zx4uvR-gV,"These manga feature succubi: Demons or spirits in female form that engage in sexual intercourse to feed off the energy of their partners. In traditional folklore, a succubus would visit men in their sleep, but modern renditions of these creatures can have them pursuing people of either sex, whether they are asleep or awake."
theme,Superhero,aBtc4A_ZVtDhIDr1a1ddo,"These manga feature characters with extraordinary and often superhuman Superpowers. With these abilities, they fight evil to protect society and uphold their moral code. Superheroes are frequently Masked Heroes who wear costumes to hide their identities."
theme,Supernatural,VrNOxWTkfMKorcxVqj429,"Also called paranormal, supernatural events are those modern science has difficulty explaining. Supernaturally oriented titles are often steeped in folklore, myth, or Urban Legend. They may involve strange or inexplicable phenomena, Psychic Powers or emanations, and/or ghosts or other fantastic creatures. Supernatural events are those that lie at the edge of our understanding - they are easy to believe in, but difficult to prove."
theme,Superpowers,gMvYP4lKL8Gv3w8-mJZuo,"Superpowers are special abilities that the majority of modern humans do not possess. Unlike skills that are studied and learned through traditional means, these abilities are inherent strengths that arise from genetic differences, random accidents, or exposure to strange phenomena. These manga often focus on combat between these individuals or against outside threats, as well as the social stigma that comes from having these powers."
theme,Survival,sUNZ28ajraHELr6RCFF8u,"Characters are threatened with danger or death from the very environment in which they live. Whether through starvation, dehydration, asphyxiation, the power of the elements, the threat of attack from deadly wildlife, or fantastic environmental circumstances, the world around the cast poses at least as much of a threat to life as does any humanoid enemy."
theme,Swimming,aIQkF-TdvdOxqrzWERQn9,"Swimming is the focus of these manga. Characters may swim as part of a School Club or Sports team, or they may enjoy swimming in the Ocean or other locations as a hobby."
theme,Teacher,LuXYw39RmI6f4ed207bDt,"These manga are about teachers: people responsible for educating their students, whether they work in a high school, a specialized school, or some other institution."
theme,Terrorism,sSpSBpPpwZiGwzVb7HOH6,"Terror is an attempt to actively cause fear in a population. This can be accomplished by bombing, disease warfare, hostage taking, or any number of other methods. Terrorists may have a specific objective, something they are expecting from the government or people they are targeting, or they may be simply intending to promote chaos in an area."
genre,Thriller,J7GUJMXRO2ZxVHuRe4jmv,"Thrillers are characterized by tension. These manga typically set up a complex story with a variety of dangerous elements, plot twists, and possible outcomes, and attempt to resolve it in a manner that keeps the level of suspense high, keeping you guessing as to what might be coming next."
theme,Time Loop,PhM-0Tu5bOTlSFLhFLM-e,"The characters in these manga are in a time loop: a phenomenon where they are forced or choose to Time Travel into the past and repeat the same events over and over again unless they can find a way to break the cycle, or until they complete their mission. Also includes cases where a reincarnated or transmigrated character continuously loops through the same events in time, typically dying at the end of each loop and returning back to the point where they transmigrated. Does not include Second Chance cases, which are defined on Anime-Planet as going back once to change events."
theme,Time Travel,X3kZ0sfL19kK-kZn88Sdj,"Time travel is the concept of moving between different points in time, usually with an invention called a time machine. The science is loosely based in theoretical physics, with quantum mechanics and wormholes as common themes. These titles either focus on the concept of time travel or include time travel, often involving a Person in a Strange World."
theme,Transfer Student,sSKja_3TjFl9s5kRZFdW5,"These manga feature students who have just transferred to a new school, and typically focus on their experiences as they make new friends, find a new love, or adjust to their new environment."
theme,Unrequited Love,C1tP2AJeXK1xHg07kCTZu,"Characters in these manga are dealing with an unrequited love for someone. Their feelings may be reciprocated later on, or they may have to come to terms with the fact that the object of their affection is not interested and move on. In some cases, characters may never confess their love at all."
theme,Urban Fantasy,QM5VgCt6uPFpU6n4bIzAJ,"Urban Fantasy is a subgenre of Fantasy that typically takes place in an urban setting. These manga might be a Contemporary Fantasy set in the present day, or they might take place in the future, or in the historical past. Urban fantasies are set primarily in the real world but contain fantasy aspects."
theme,Vampire,ufcqSEHqFFsbtwNikAgUC,"These manga showcase traditional vampires - whether they're explicitly called vampires or not - who drink blood, can't sunbathe or have a pesky sensitivity to garlic."
theme,Vigilante,fdoBsO4iTjJFXkcCTt-cY,"These manga feature Vigilantes: characters who punish those they perceive to be criminals by whatever means are necessary. They typically believe their cause to be just, and their actions to be justified, even if it involves murdering their targets. Vigilantes are often anti-heroes."
theme,Villainess,z_mrz8B1h1yGFK3IuVZ0_,"These manga are about a woman who is written to be the villainess in an Otome Game or a novel, and thus is on the road to ruin. Most commonly an Isekai trope where the main character is reincarnated or transmigrated into the villainess, or someone related to them such as a mob character or the heroine. The villainess and her companions must work to do whatever they can to avoid her fate, deal with life after doom, or just avoid the problem altogether! The worlds are usually based on an existing Otome Game or novel the main character is familiar with, or even wrote in their past life."
